Name;Substance;Y_1970;Y_1971;Y_1972;Y_1973;Y_1974;Y_1975;Y_1976;Y_1977;Y_1978;Y_1979;Y_1980;Y_1981;Y_1982;Y_1983;Y_1984;Y_1985;Y_1986;Y_1987;Y_1988;Y_1989;Y_1990;Y_1991;Y_1992;Y_1993;Y_1994;Y_1995;Y_1996;Y_1997;Y_1998;Y_1999;Y_2000;Y_2001;Y_2002;Y_2003;Y_2004;Y_2005;Y_2006;Y_2007;Y_2008;Y_2009;Y_2010;Y_2011;Y_2012;Y_2013;Y_2014;Y_2015;Y_2016;Y_2017;Y_2018;Y_2019;Y_2020;Y_2021;Y_2022;Y_2023;Y_2024
El Salvador;CO2;1602,293356;1611,518637;1854,853673;2021,675142;2058,489505;2311,953568;2349,528713;2417,840977;2578,780598;2402,66622;2022,172532;2017,504738;1884,505292;1947,928388;1902,682312;2080,244592;2063,126955;2466,467953;2439,854477;2433,776589;2594,644652;3309,320537;3724,8801;4045,688204;4693,236075;5133,304223;4569,83729;5602,230062;5867,899009;5826,292034;5798,779625;6036,318545;6053,941697;6579,481187;6829,272509;7032,621302;7389,082063;7778,588219;7090,536547;6898,491995;6724,74082;7023,34935;6997,714211;6634,972625;6814,471866;7264,854888;7328,268814;6632,138241;7102,221257;8106,776177;6653,460542;7532,032718;8465,774159;9236,513943;9543,361303
Somalia;CO2;571,2574903;571,271764;568,4272346;588,1059919;634,6067043;659,6536214;684,657831;709,9280713;722,4183502;833,7421252;819,4153453;911,6567895;837,7869063;896,5427798;894,3338269;881,7962107;1014,657068;1041,807839;940,396287;891,4783769;628,6775866;479,0065213;377,6526453;387,2521098;386,0309446;396,5746027;410,4830889;408,1463228;418,0254768;435,8551196;625,3304986;662,684005;738,4368753;752,3785623;742,1091513;754,3986331;779,4281753;789,5918573;763,1337092;775,5844432;788,4520455;788,3148473;778,2645623;782,6653439;773,1986488;822,459373;837,839579;836,6511954;856,2392473;846,5445544;789,5906589;817,1963483;832,9079832;849,5774772;865,2162023
Saint Pierre and Miquelon;CO2;36,3617684;36,33202224;44,29820909;44,69312753;39,79562869;48,22700548;43,70090995;48,27368097;48,28291419;47,74924536;47,20149109;46,30265834;38,94615982;42,39813486;47,16787269;42,6023191;54,55507331;73,6699471;79,69420528;99,06115172;90,96686503;85,78115936;80,07753409;44,60860465;46,39140761;28,85800067;28,62481595;17,0861403;23,31040054;23,61592758;17,53162992;17,13571187;19,71044889;23,12592802;21,85592096;23,1756736;25,55668326;27,73617542;29,19116351;32,18563351;36,09289048;27,71143844;28,38611039;33,3099522;37,17407056;37,93193437;41,04351608;37,44503497;28,17929526;35,00930111;32,48859873;28,8395545;28,73207363;28,76384957;28,65308134
Sao Tome and Principe;CO2;14,39976228;14,40383471;14,33376552;14,83191397;16,00528632;16,62554271;17,23777178;17,84907654;18,13799527;20,92987435;20,54637944;19,67118339;18,26101673;19,99240165;19,30479088;19,23990396;22,06650967;31,10577222;28,55259051;26,3303465;38,5855974;51,42183342;43,54724343;42,43536609;51,7200811;53,16540455;55,05070875;54,67386557;55,95697596;58,38480689;54,6763846;55,77561131;64,41765243;72,98538587;82,60277037;89,27899737;95,18952834;97,83247957;104,6622399;114,6265571;123,6140069;127,2517308;132,7700762;133,4121955;131,6103106;140,7179518;146,403649;149,0987993;152,501724;159,1010508;154,0637905;158,3331006;141,2112124;145,6354648;147,7218588
Suriname;CO2;627,0497018;627,374212;721,9092408;750,7089927;676,6395637;751,8794261;714,8258695;782,7736226;801,8844467;792,5915983;774,6545035;657,2848957;582,0503665;428,3034076;378,2956998;491,229147;497,2544949;394,7267288;480,7329725;571,5243298;1097,599019;1251,911386;1224,798311;1230,307925;1237,072538;1261,243835;1245,133826;1281,780742;1302,556444;1275,526383;1480,206205;1520,577949;1118,237761;1234,773562;1393,886641;1688,834503;1531,434481;1414,772199;1460,128414;1451,982982;1749,723509;1956,554331;2444,88285;2288,318511;2621,241793;2726,07731;2960,730977;2450,399578;2151,195239;2661,31308;2604,360235;2719,099433;2862,816134;2495,964439;2576,452175
Slovakia;CO2;43897,46579;43857,51475;44603,13647;45985,66016;46735,09374;48170,2815;49172,54926;51206,518;57436,49691;58697,99536;62752,58452;60846,31601;59089,80825;58864,23258;61060,99649;60818,37912;57998,53239;59831,03661;60884,1782;60447,87153;60634,84513;52668,74944;49202,9265;48169,14529;45399,2393;45761,43713;45988,9649;45563,6576;44666,81583;43888,5174;41684,4751;41978,48026;41951,64831;42396,00562;41839,91981;42244,42454;42256,41071;41335,04944;41162,17618;37226,82492;39911,18286;37894,28104;36106,41153;36380,33082;33990,21556;34526,02615;35444,63315;37728,84394;37242,68839;34807,36242;32643,85127;36648,27731;33188,67851;31148,28479;29892,54127
Slovenia;CO2;9687,653108;9719,969961;9463,405311;10792,83158;11636,39297;11525,32454;11039,4497;12061,43875;12826,56418;13469,22768;13808,78612;11132,21602;11145,59682;13870,97287;13869,09774;13514,71615;13416,86937;12766,3223;17070,47148;15865,9903;14686,13898;13742,69733;13271,84169;13975,52136;14076,82584;14967,99709;15717,85425;16213,72924;16032,22346;15473,02246;15093,95254;16966,19547;17276,8842;17124,66736;17399,2558;17636,32196;17944,58717;17935,47751;18895,71225;16889,57437;17160,82173;16079,26621;15516,95206;15510,9741;14126,01975;14294,8929;15018,70711;15344,29726;15450,02065;14826,12882;13540,57918;13860,13032;13389,27216;12618,59827;13331,36482
Sweden;CO2;96174,8144;88976,57928;89176,89156;90265,15565;83497,78832;85286,42107;92386,43665;88472,32129;82967,48377;86108,62957;78631,72347;71038,54498;64907,41616;59078,58467;58573,2206;62558,07758;64213,93926;62249,3319;60493,45636;57623,07748;57142,41008;57636,39408;60188,07787;60266,12776;62943,16122;62642,38818;67755,48881;61796,27123;63004,50763;61685,30445;57984,13835;58058,35806;59388,68614;59658,61271;58065,52806;54533,57756;55098,53663;52843,27898;51712,49159;46920,74401;52883,5261;48462,05118;45728,68596;43968,54721;42779,21928;42900,88264;42489,98001;41836,17954;39648,27092;39495,10754;38038,84549;40478,49004;37752,58823;36668,31649;37774,19288
Swaziland;CO2;256,9683313;257,0109006;263,3785168;276,0313489;288,7127298;326,5884901;320,3117004;320,3159862;605,1837473;606,2841747;618,4996538;582,2344536;588,0552782;440,6589738;499,768296;574,8081117;634,3156805;665,4131661;709,5870182;743,9087256;1105,797011;1090,528719;913,1516632;820,3785704;1459,80724;1417,823577;1135,471336;1156,591109;1178,699557;1265,360755;1097,600891;1112,029416;1082,516734;1004,715033;994,5234951;990,8754102;998,9442797;1032,423366;1013,016447;1049,296941;855,6410366;819,4471172;811,000693;962,6652555;982,8550236;980,9027663;1046,904988;1061,829531;1062,072849;1136,076555;960,6236793;989,1750407;1076,533618;1078,400861;1094,137329
Seychelles;CO2;106,9171435;106,9215862;106,3764952;110,0928142;118,8755782;123,5004099;128,0588337;132,6063111;134,7332872;155,6345098;152,724136;116,9605176;99,46293077;188,0061302;190,97413;199,7857166;197,1203117;294,260971;400,5894469;383,8233448;265,9049022;379,6092337;319,1887813;320,3755716;319,250566;339,9731742;352,1003555;371,090393;379,7456427;396,2378824;754,5178632;838,2484291;758,6262931;765,1666346;1061,524651;964,2654257;1049,531466;867,4703054;921,2328681;1020,16786;917,0492624;781,6871245;886,6407816;802,3050003;926,0886914;986,8321807;1100,263395;1152,763128;1005,280612;894,8450001;838,8242662;788,20839;842,4066442;839,4700496;878,2158055
Syrian Arab Republic;CO2;6339,02833;6371,116344;6141,475197;5837,281882;7943,06442;9294,695079;10683,50812;11748,52944;12046,01157;15341,34761;14371,48472;16165,74944;19140,38231;22613,74539;25335,25115;22858,65271;23838,68211;30279,71724;29711,35961;28672,24387;33004,35681;36112,67946;35880,1419;36871,57299;38883,64821;40512,7643;43527,83975;43334,95582;46015,13613;45208,25889;45901,72109;46013,20676;45827,85315;45981,87337;48031,81847;58809,68779;61568,75745;65022,83914;66679,41792;62409,05217;62691,76561;58618,12597;46247,6837;31194,9652;30987,34431;28135,67024;25877,19107;31080,70328;34004,69725;33317,11144;31749,20212;32036,26346;31165,57456;31357,11254;31449,83848
Turks and Caicos Islands;CO2;3,268846662;3,266313966;3,975001245;4,010354796;3,575036014;4,325157905;3,922817652;4,329714569;4,330746597;4,283556452;4,235181537;4,155705382;3,88648453;3,809572808;4,234385672;4,249537529;4,420201093;4,695638352;5,068212669;5,19471155;5,073573986;5,096294178;5,132934555;5,004382618;5,098985919;5,013001452;4,974206121;5,106486529;5,7453402;5,811436199;17,73520771;18,39305382;25,8646486;27,65685329;27,97219992;33,64861065;42,68473284;52,45110523;58,76082062;65,34629049;73,25290613;55,88788417;58,03207422;67,05915021;76,02709291;79,95926672;88,1380512;88,34198203;189,7168638;221,1280422;214,9403441;214,9950601;220,510301;221,2415713;229,0612629
Chad;CO2;153,6905464;153,9320894;153,4955867;158,6436802;170,7541976;177,1536291;184,2696115;194,0218872;197,1176661;224,9497679;219,4328751;198,984471;185,9680152;199,6259149;97,69847309;116,7352621;200,012025;250,2866864;143,1911753;145,3701358;235,3532063;287,1258362;246,7867166;127,7896524;143,2261568;147,6583697;153,73163;158,7234498;161,7502242;167,408631;240,4486815;243,1635851;263,4635656;397,2863568;455,4936207;480,9325678;497,5056625;567,9945913;484,7448522;497,6465314;524,5857886;683,5742565;1209,057785;1315,305322;1404,131326;1613,382407;1690,749613;2210,42765;2413,856801;2364,514608;2413,289464;2731,101129;2865,015565;2908,821929;2892,77253
Togo;CO2;545,4063532;372,5102796;418,1951751;367,1876337;340,050065;394,5933705;349,5570032;460,3701971;500,837008;557,9435326;514,8588107;498,8994412;563,8310606;411,4505832;456,7535431;430,7454071;639,4004402;693,6436723;680,0047624;689,8603149;755,0743295;698,6463977;533,0969619;411,0010498;747,6580335;737,355753;1129,657728;849,485506;1046,526493;1354,127215;1251,127352;1126,363892;1198,994606;1437,415283;1377,999722;1311,189606;1221,656043;1217,880515;1589,101651;2710,747282;2525,046373;2317,105403;2246,213136;1931,364102;1734,709359;1546,005746;2127,860594;1655,445715;1936,272795;2105,341275;2421,83551;2534,049884;2604,44766;2531,308729;2627,592368
Thailand;CO2;20164,34332;20241,98985;22689,45068;25313,70487;25293,53041;25899,69813;29314,78947;32183,02447;35459,95754;37588,718;39202,06347;38619,50078;37446,12415;41420,70732;44711,33108;48745,50621;50394,04155;58157,88684;66173,76253;77330,3425;95385,43339;104005,3991;114025,1514;129443,3716;144414,732;163547,9805;183892,5797;187414,5639;167028,5642;174548,1889;174842,7625;183525,5388;195071,5126;202930,5314;221142,6637;229224,815;232849,141;237862,9949;238969,372;232017,5953;246359,5615;246746,1827;264804,0507;275957,5574;272522,8274;281467,7075;277763,7963;281080,9501;276653,7031;286470,3522;275633,3638;268576,6508;284313,9916;275034,4295;283809,0781
Tajikistan;CO2;8140,087208;8173,586574;8564,100861;8935,034496;9320,495183;9976,363707;10217,28884;10499,30715;10781,17334;11050,97513;11568,9592;11628,38226;11683,0569;11862,24975;11817,03582;12324,68701;12778,4729;12990,2013;13200,16559;13282,79517;12322,45068;11631,37905;8556,773463;5798,716997;3588,738614;3045,711388;2700,608769;2976,62053;3215,359144;2995,81558;2784,643483;2741,892092;2755,39707;2816,302558;3352,079127;3191,088484;3489,690103;4050,292392;3790,766751;3050,011306;3071,007323;3082,369899;3502,148803;3593,900011;4768,195104;5091,719647;5715,450382;6934,026755;8204,446042;9040,504778;9388,099063;9426,783727;9560,60901;9320,397298;9769,851942
Tokelau;CO2;0,006496832;0,006451279;0,006420911;0,006420911;0,006420911;0,006420911;0,006420911;0,006405727;0,006375359;0,006375359;0,006390543;0,006436095;0,006496832;0,006557568;0,006618305;0,006633489;0,006618305;0,006618305;0,006572752;0,006512016;0,006481648;0,006436095;0,006405727;0,006375359;0,006360174;0,00634499;0,006360174;0,006390543;0,006436095;0,006420911;0,006390543;0,005863622;0,010128517;0,01132286;0,010761387;0,007964282;0,006946545;0,006559993;0,004014809;0,003101809;0,004194993;0,005299177;0,006407545;0,007515913;0,008650466;0,010192018;0,012140571;0,011697939;0,008384307;0,017742676;0,042556044;0,069466228;0,082923412;0,097144212;0,11388219
Turkmenistan;CO2;18761,40493;18782,39215;19739,99535;20621,18727;21624,41233;23611,73302;24194,21736;25054,41154;26811,56118;27713,96846;29725,06916;30684,71399;31526,43838;32479,13746;33644,25211;34814,31185;36042,6525;37168,93086;38097,83559;38923,31482;45694,35683;38732,85271;28611,36007;27148,24428;34241,12973;34659,72016;31517,29385;31504,39901;32608,04542;38561,39339;39340,19;40287,90296;43220,22147;48152,3473;51323,84866;52898,31074;54958,88736;60787,15517;61938,20166;54629,88688;61653,19334;66140,01143;68297,71465;65274,64113;63216,78096;67910,81666;67289,70627;72170,82527;74231,83709;73250,641;76825,27902;95432,27511;101261,2903;94728,6914;81408,01193
